line,region,ambient,year,year1,R_rubiginosa,Au_chilensis,N_antarctica,Stipa_humilis,M_spinosum,Dtrinervis
E1,Estepa ,Estepa ,1,2007,0.01,0,0,1,40,0
E2,Estepa ,Estepa ,1,2007,0.1,0,0,7.75,60,0
E3,Estepa ,Estepa ,1,2007,0,0,0,9.4,30,0
E4,Estepa ,Estepa ,1,2007,0.3,0,0,17.3,60,0
E5,Estepa ,Estepa ,1,2007,0,0,0,18.2,20,0
E6,Estepa ,Estepa ,1,2007,0,0,0,27.3,0,0
E7,Estepa ,Estepa ,1,2007,1,0,0,3.2,0,0
E11,Estepa ,Estepa ,1,2007,0,0,0,24.55,3,0
E12,Estepa ,Estepa ,1,2007,0,0,0,8.6,5,0
E13,Estepa ,Estepa ,1,2007,0.5,0,0,17.4,0,0
E16,Estepa ,Estepa ,1,2007,0,0,0,8.5,0.5,0
E20,Estepa ,Estepa ,1,2007,0,0,0,0.25,0.5,0
E21,Estepa ,Estepa ,1,2007,0,0,0,2.65,2,0
E22,Estepa ,Estepa ,1,2007,0,0,0,17.5,8,0
E23,Estepa ,Estepa ,1,2007,1.5,0,0,14.6,0,0
E24,Estepa ,Estepa ,1,2007,0,0,0,11.7,30,0
M1,Ecotono,Mosquetales,1,2007,70,0,0,0,0,0
M3,Ecotono,Mosquetales,1,2007,95,0,0,0,0,0
M4,Ecotono,Mosquetales,1,2007,95,0,0,0,0,0
M5,Ecotono,Mosquetales,1,2007,70,0,0,0,0,0
M6,Ecotono,Mosquetales,1,2007,60,0,0,0,0,0.5
M7,Ecotono,Mosquetales,1,2007,50,0,0,0,0,0
M8,Ecotono,Mosquetales,1,2007,90,0,0,0,0,0
M10,Ecotono,Mosquetales,1,2007,90,0,0,0,0,0
M11,Ecotono,Mosquetales,1,2007,95,0,0,0,0,0
M12,Ecotono,Mosquetales,1,2007,80,0,0,0,0,0
SM1,Ecotono,Sin_mosqueta,1,2007,10,0,0,0,0,60
SM3,Ecotono,Sin_mosqueta,1,2007,0,0,0,0,0,75
SM5,Ecotono,Sin_mosqueta,1,2007,0.1,0,0,0,0,70
SM6,Ecotono,Sin_mosqueta,1,2007,5,0,0,0,0,70
SM7,Ecotono,Sin_mosqueta,1,2007,1,0,0,0,0,50
SM9,Ecotono,Sin_mosqueta,1,2007,1,0,0,0,0,35
SM10,Ecotono,Sin_mosqueta,1,2007,2,0,0,0,0,80
SM11,Ecotono,Sin_mosqueta,1,2007,0,0,0,0,0,10
